Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-17,17:00:00,1012.91,1014.75,1007.01,1007.288,596553,0
2017-07-17,18:00:00,1007.27,1010.99,1005.19,1008.33,252433,0
2017-07-17,19:00:00,1008.68,1012.36,1008.29,1011.12,179924,0
2017-07-17,20:00:00,1010.96,1011.88,1007.62,1008.5,135535,0
2017-07-17,21:00:00,1008.23,1008.7773,1005.52,1006.4266,181515,0
2017-07-17,22:00:00,1006.48,1010.44,1006.1238,1010.04,453086,0
2017-07-18,16:00:00,1006,1013.66,1004,1012.43,449054,0
2017-07-18,17:00:00,1012.26,1015.68,1010.55,1015.49,476604,0
2017-07-18,18:00:00,1015.42,1022.95,1014.95,1022.48,528162,0
2017-07-18,19:00:00,1022.3165,1024,1020.76,1022.09,281160,0
2017-07-18,20:00:00,1022.0578,1026.03,1020.75,1025.753,281452,0
2017-07-18,21:00:00,1025.73,1025.92,1022.88,1023.2,242925,0
2017-07-18,22:00:00,1023.1,1026,1022.99,1024.38,469932,0
2017-07-19,16:00:00,1025,1030.29,1022.5,1029.5199,581086,0
2017-07-19,17:00:00,1029.34,1030.2,1023.01,1027.298,325955,0
2017-07-19,18:00:00,1027.33,1029.4,1026.04,1028.5,231921,0
2017-07-19,19:00:00,1028.405,1030.57,1028.405,1030,206863,0
2017-07-19,20:00:00,1029.99,1031.59,1029.2,1029.6,161729,0
2017-07-19,21:00:00,1029.84,1029.84,1027.2,1028.81,182567,0
2017-07-19,22:00:00,1028.87,1029.235,1025.18,1026.87,417687,0
2017-07-20,16:00:00,1031.59,1034.97,1030.18,1033.96,347807,0
2017-07-20,17:00:00,1034.22,1034.22,1025.235,1030.1967,468465,0
2017-07-20,18:00:00,1030.0216,1031.819,1028.555,1030.45,176830,0
2017-07-20,19:00:00,1030.15,1032.575,1029.0796,1029.5221,138671,0
2017-07-20,20:00:00,1029.77,1029.77,1026.5,1027.031,200866,0
2017-07-20,21:00:00,1027.02,1028.22,1022.515,1026.0158,273873,0
2017-07-20,22:00:00,1026.13,1030.1674,1025.011,1028.7,418645,0
2017-07-21,16:00:00,1021.28,1022,1011,1020.44,643689,0
2017-07-21,17:00:00,1020.6111,1023.82,1019.13,1022.776,265002,0
2017-07-21,18:00:00,1022.491,1023.67,1021.01,1023.43,133245,0
2017-07-21,19:00:00,1023.3729,1026.1,1022.99,1025.5434,123798,0
2017-07-21,20:00:00,1025.3628,1025.9,1023.76,1024.5778,80196,0
2017-07-21,21:00:00,1024.7,1025.33,1023.03,1024.39,103049,0
2017-07-21,22:00:00,1024.5,1025.91,1023.28,1025.67,456078,0
2017-07-24,16:00:00,1028.34,1033.99,1027.4279,1033.035,372092,0
2017-07-24,17:00:00,1033.23,1034.77,1030.4001,1032.598,305377,0
2017-07-24,18:00:00,1032.75,1035,1030.75,1034.2819,187856,0
2017-07-24,19:00:00,1034.369,1038.94,1034.1,1038.5692,255221,0
2017-07-24,20:00:00,1038.53,1039.8,1037.17,1037.33,215222,0
2017-07-24,21:00:00,1037.306,1040.22,1037.01,1039.8233,159778,0
2017-07-24,22:00:00,1039.93,1043.01,1038.14,1038.95,689144,0
2017-07-25,16:00:00,1038.05,1040.9199,1032.48,1039.99,393807,0
2017-07-25,17:00:00,1040.31,1040.9,1033.8127,1034.46,269087,0
2017-07-25,18:00:00,1034.68,1039.49,1034.68,1037.55,176758,0
2017-07-25,19:00:00,1037.69,1038.089,1035.78,1037.371,83937,0
2017-07-25,20:00:00,1037.2,1043.3346,1036.9416,1042.2,172927,0
2017-07-25,21:00:00,1042.01,1042.56,1040.53,1041.265,142127,0
2017-07-25,22:00:00,1041.2625,1041.5088,1037.71,1040.13,250665,0
2017-07-26,16:00:00,1043.2,1051.63,1043.2,1050.58,461670,0
2017-07-26,17:00:00,1050.414,1053,1050,1051.5104,309455,0
2017-07-26,18:00:00,1051.37,1052.18,1049.4681,1050,188760,0
2017-07-26,19:00:00,1050.1,1052.048,1049.77,1050.8,116086,0
2017-07-26,20:00:00,1050.73,1051.33,1049.51,1050.135,111677,0
2017-07-26,21:00:00,1050.09,1050.5,1047.35,1049.52,180685,0
2017-07-26,22:00:00,1049.41,1053.2,1048.92,1052.8,571568,0
2017-07-27,16:00:00,1069.55,1074.75,1062.46,1064.29,700457,0
2017-07-27,17:00:00,1064.3199,1073.68,1064.12,1071.7,606100,0
2017-07-27,18:00:00,1071.68,1083.31,1070.378,1081.71,669361,0
2017-07-27,19:00:00,1081.61,1083.1999,1051.73,1053.55,1637906,0
2017-07-27,20:00:00,1053.8479,1059.99,1040.31,1048.91,1135518,0
2017-07-27,21:00:00,1049.17,1058.05,1045,1047.77,682296,0
2017-07-27,22:00:00,1047.776,1047.87,1040.18,1046,1371223,0
2017-07-28,16:00:00,1012.14,1013.95,1001,1008.872,1393713,0
2017-07-28,17:00:00,1008.8022,1014.6729,1007,1009.86,697078,0
2017-07-28,18:00:00,1009.98,1017.94,1009.98,1016.645,620894,0
